content,score
Tolong ditambahkan fitur tarik tunai tanpa kartu ATM. Ini sangat membantu jika lupa kartu atau kartu ATM terblokir. Tolong perhatikan. Fitur ini sangat penting dan membantu. Jika sdh ada fitur tersebut baru cocok bintang 5. Skr msh bintang 4 dulu.,4
"Sangat baguss banget sihh,lebih gampang, simpel dan juga mudah dalam transaksi,Tampilannya juga menarik. Tidak ribet juga saat verifikasi daftar nya, Mudah dlm penggantian email (tidak perlu k kantor cabang BNI ) saat email yg awal udh gak aktip🤗sangat puasss sekali untuk pembaruan aplikasi nya",5
"Simple tapi fungsionalis, mengakomodir banyak kebutuhan. Hanya saja menurut saya opsi loginnya seperti mobile BNI saja, bisa fingerscan dan bisa isi paswword atau PIN. Karena saat pilih login finger tangan sedang berkeringat atau terluka tidak bisa dan tidak ada opsi login lainnya. Mohon dapat ditambahkan opsi loginnya. Terimakasih.",4
"UInya fresh dan lebih baik dari apk BNI mbanking, kedepanya tolong perbanyak fitur lain²nya karena banyak ruang kosong di aplikasi ini karena fitur yng masih sedikit, tambahkan berita & event² diskon dll lainya haha.",4
"Saya baru instal hari ini karna rekomendasi dari teller bank BNI. Tp sewaktu saya mau transaksi transfer dan topup ewallet malah gak bisa. Tolonglah di perbaiki apknya. Untuk interface dan ui nya udah bagus si, tp kegunaannya masih harus diperbaiki. Thx",2
"Sebenarnya ini aplikasi bagus, lengkap, ringan & responsif. Mungkin yang perlu ditingkatkan lagi masalah verifikasi wajah pada waktu mendaftar terutama bagian mengedipkan mata sering gagal dan aplikasinya tidak bisa di screenshot. Mohon dilengkapi juga koneksi e-Wallet nya jangan hanya LinkAja. Terimakasih",3
Tampilan aplikasi menarik full colour tapi fitur nya kurang komplit .dibanding aplikasi bni sebelumnya masih kalah.berharap ada fitur e -statement ternyata tidak ada ..semoga di tambah lagi fitur nya .. untuk desainnya udah keren bangets.y dan gaul abiz,5
"Penempatan menu cukup baik lebih cepat.(Apa karena baru). Di BNI Mobil ver orange, saya bisa kontrol dan lihat kartu Kredit BNI. (Terintegrasi)... Sayang di Wordr belum bisa..... Fitur masih belum selengkap versi lama.. Harapannya versi baru harus lebih canggih terutama dari sisi keamanan dari Verai lama... Oya warnanya background ""Wondr"", menghilangkan ciri khas BNI biru tosca..mengapa ya...?",4
"Aplikasinya mantap tampilannya model kekinian ketimbang aplikasi sebelumnya, kekurangannya belum ada fitur dark mode. Tolong tambahin fitur dark mode untuk kenyamanan mata saat malam hari serta memberikan tampilan yang elegan....",4
Tidak ada menu untuk melihat saldo pinjaman BNI flexi. Di BNI mobile sudah ada sehingga memudahkan saya untuk kepentingan laporan LHKPN. Di wondr tidak ada sehingga perlu effort lagi untuk meminta laporan ke bank. Transaksi autodebet pembayaran cicilan kredit flexy kenapa tidak muncul di mutasi rekening ya? Selain itu untuk rekening tabunganku juga tidak muncul. Padahal bni mobile banking ada,3
